Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Niclas Füllkrug,de GER,FW,28,34,28,2593.0,28.8,19.0,6.0,25.0,17.0,2.0,2.0,2.0,0.0,0.66,0.21,0.87,0.59,0.8,Matches,2021-2022,Werder Bremen
Marvin Ducksch,de GER,FW,27,29,29,2569.0,28.5,20.0,7.0,27.0,17.0,3.0,3.0,2.0,0.0,0.7,0.25,0.95,0.6,0.84,Matches,2021-2022,Werder Bremen
Anthony Jung,de GER,"MF,DF",29,30,28,2520.0,28.0,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches,2021-2022,Werder Bremen
Marco Friedl,at AUT,DF,23,28,28,2462.0,27.4,4.0,3.0,7.0,4.0,0.0,0.0,10.0,0.0,0.15,0.11,0.26,0.15,0.26,Matches,2021-2022,Werder Bremen
Romano Schmid,at AUT,MF,21,34,30,2456.0,27.3,3.0,5.0,8.0,3.0,0.0,0.0,8.0,0.0,0.11,0.18,0.29,0.11,0.29,Matches,2021-2022,Werder Bremen
Miloš Veljković,rs SRB,DF,25,26,25,2305.0,25.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,2021-2022,Werder Bremen
Jiří Pavlenka,cz CZE,GK,29,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Werder Bremen
Christian Groß,de GER,"MF,DF",32,27,23,2053.0,22.8,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.09,0.09,0.0,0.09,Matches,2021-2022,Werder Bremen
Nicolai Rapp,de GER,"MF,DF",24,29,18,1721.0,19.1,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches,2021-2022,Werder Bremen
