Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marvin Ducksch,de GER,FW,29,34,33,2755.0,30.6,13.0,9.0,22.0,8.0,5.0,6.0,9.0,0.0,12.8,7.9,7.8,15.7,17.0,88.0,150.0,0.42,0.29,0.72,0.26,0.56,0.43,0.26,0.69,0.26,0.52,Matches,2023-2024,Werder Bremen
Romano Schmid,at AUT,"MF,FW",23,34,31,2691.0,29.9,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,5.2,5.2,6.3,11.5,75.0,144.0,165.0,0.13,0.2,0.33,0.13,0.33,0.18,0.22,0.4,0.18,0.4,Matches,2023-2024,Werder Bremen
Anthony Jung,de GER,DF,31,32,31,2668.0,29.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.6,0.6,0.3,1.0,24.0,107.0,21.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,Matches,2023-2024,Werder Bremen
Mitchell Weiser,de GER,"DF,MF",29,31,30,2656.0,29.5,3.0,7.0,10.0,3.0,0.0,0.0,5.0,0.0,3.8,3.8,4.2,7.9,81.0,111.0,189.0,0.1,0.24,0.34,0.1,0.34,0.13,0.14,0.27,0.13,0.27,Matches,2023-2024,Werder Bremen
Michael Zetterer,de GER,GK,28,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2023-2024,Werder Bremen
Jens Stage,dk DEN,MF,26,31,27,2417.0,26.9,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,4.4,4.4,1.9,6.3,24.0,85.0,60.0,0.11,0.04,0.15,0.11,0.15,0.17,0.07,0.24,0.17,0.24,Matches,2023-2024,Werder Bremen
Marco Friedl,at AUT,DF,25,26,25,2198.0,24.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.2,0.2,0.1,0.3,4.0,59.0,2.0,0.04,0.0,0.04,0.04,0.04,0.01,0.0,0.01,0.01,0.01,Matches,2023-2024,Werder Bremen
Miloš Veljković,rs SRB,DF,27,24,22,2010.0,22.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,0.8,2.5,16.0,89.0,13.0,0.09,0.04,0.13,0.09,0.13,0.08,0.04,0.12,0.08,0.12,Matches,2023-2024,Werder Bremen
Senne Lynen,be BEL,MF,24,32,20,1797.0,20.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.8,2.2,10.0,66.0,28.0,0.0,0.15,0.15,0.0,0.15,0.02,0.09,0.11,0.02,0.11,Matches,2023-2024,Werder Bremen
