Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Tomáš Souček,cz CZE,MF,25,41,40,3631.0,40.3,10.0,1.0,11.0,10.0,0.0,0.0,7.0,1.0,8.4,8.4,2.0,10.4,28.0,165.0,47.0,0.25,0.02,0.27,0.25,0.27,0.22,0.05,0.27,0.22,0.27,Matches,2020-2021,West Ham
Aaron Cresswell,eng ENG,DF,30,39,38,3398.0,37.8,0.0,8.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,6.5,7.5,35.0,162.0,96.0,0.0,0.21,0.21,0.0,0.21,0.03,0.18,0.21,0.03,0.21,Matches,2020-2021,West Ham
Łukasz Fabiański,pl POL,GK,35,37,37,3352.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,West Ham
Vladimír Coufal,cz CZE,DF,27,36,36,3264.0,36.3,0.0,7.0,7.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,5.5,6.7,70.0,128.0,159.0,0.0,0.19,0.19,0.0,0.19,0.04,0.16,0.2,0.04,0.2,Matches,2020-2021,West Ham
Declan Rice,eng ENG,MF,21,35,35,3179.0,35.3,2.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,3.2,1.6,1.8,3.4,74.0,169.0,37.0,0.06,0.03,0.08,0.03,0.06,0.1,0.06,0.16,0.05,0.11,Matches,2020-2021,West Ham
Pablo Fornals,es ESP,"FW,MF",24,36,33,2750.0,30.6,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,6.0,6.0,2.3,8.4,59.0,134.0,142.0,0.2,0.13,0.33,0.2,0.33,0.21,0.08,0.29,0.21,0.29,Matches,2020-2021,West Ham
Jarrod Bowen,eng ENG,"FW,MF",23,40,31,2630.0,29.2,8.0,6.0,14.0,8.0,0.0,0.0,0.0,0.0,7.1,7.1,5.0,12.0,83.0,44.0,166.0,0.27,0.21,0.48,0.27,0.48,0.25,0.17,0.42,0.25,0.42,Matches,2020-2021,West Ham
Angelo Ogbonna,it ITA,DF,32,30,30,2597.0,28.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.7,1.7,0.8,2.5,7.0,36.0,3.0,0.1,0.0,0.1,0.1,0.1,0.06,0.03,0.09,0.06,0.09,Matches,2020-2021,West Ham
Craig Dawson,eng ENG,DF,30,24,24,2135.0,23.7,4.0,0.0,4.0,4.0,0.0,0.0,5.0,1.0,1.9,1.9,0.1,1.9,2.0,39.0,1.0,0.17,0.0,0.17,0.17,0.17,0.09,0.0,0.09,0.09,0.09,Matches,2020-2021,West Ham
Michail Antonio,jm JAM,FW,30,27,25,2063.0,22.9,10.0,5.0,15.0,10.0,0.0,0.0,3.0,0.0,12.9,12.9,3.0,15.9,59.0,36.0,177.0,0.44,0.22,0.65,0.44,0.65,0.59,0.14,0.73,0.59,0.73,Matches,2020-2021,West Ham
Saïd Benrahma,dz ALG,"FW,MF",24,33,16,1603.0,17.8,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,2.6,2.6,4.1,6.7,63.0,60.0,107.0,0.06,0.39,0.45,0.06,0.45,0.17,0.26,0.43,0.17,0.43,Matches,2020-2021,West Ham
Issa Diop,fr FRA,DF,23,21,17,1591.0,17.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.5,4.0,30.0,1.0,0.11,0.0,0.11,0.11,0.11,0.03,0.0,0.03,0.03,0.03,Matches,2020-2021,West Ham
Fabián Balbuena,py PAR,DF,28,18,17,1558.0,17.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7,0.7,0.0,0.7,3.0,30.0,2.0,0.06,0.0,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05,Matches,2020-2021,West Ham
Jesse Lingard,eng ENG,"MF,FW",27,16,16,1421.0,15.8,9.0,4.0,13.0,8.0,1.0,2.0,3.0,0.0,4.5,2.8,2.1,5.0,59.0,75.0,84.0,0.57,0.25,0.82,0.51,0.76,0.29,0.13,0.42,0.18,0.31,Matches,2020-2021,West Ham
Sébastien Haller,ci CIV,FW,26,19,13,1207.0,13.4,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,2.9,2.9,1.4,4.3,4.0,19.0,52.0,0.52,0.0,0.52,0.52,0.52,0.28,0.14,0.41,0.28,0.41,Matches,2020-2021,West Ham
Mark Noble,eng ENG,MF,33,25,12,1102.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,11.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021,West Ham
Arthur Masuaku,cd COD,"DF,MF",26,13,13,1096.0,12.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,2.2,2.7,45.0,43.0,54.0,0.0,0.16,0.16,0.0,0.16,0.04,0.2,0.24,0.04,0.24,Matches,2020-2021,West Ham
Ben Johnson,eng ENG,"DF,FW",20,20,10,1023.0,11.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,11.0,20.0,24.0,0.09,0.0,0.09,0.09,0.09,0.07,0.07,0.14,0.07,0.14,Matches,2020-2021,West Ham
Manuel Lanzini,ar ARG,"MF,FW",27,23,10,1002.0,11.1,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.8,7.0,28.0,20.0,0.09,0.27,0.36,0.09,0.36,0.15,0.14,0.29,0.15,0.29,Matches,2020-2021,West Ham
Andriy Yarmolenko,ua UKR,"FW,MF",30,21,7,855.0,9.5,3.0,4.0,7.0,2.0,1.0,1.0,3.0,0.0,0.3,0.3,0.8,1.1,22.0,17.0,38.0,0.32,0.42,0.74,0.21,0.63,0.06,0.19,0.25,0.06,0.25,Matches,2020-2021,West Ham
Ryan Fredericks,eng ENG,"DF,FW",27,16,7,726.0,8.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,1.2,1.5,11.0,20.0,39.0,0.12,0.25,0.37,0.12,0.37,0.04,0.19,0.24,0.04,0.24,Matches,2020-2021,West Ham
Darren Randolph,ie IRL,GK,33,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,West Ham
Felipe Anderson,br BRA,"FW,MF",27,5,3,273.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.33,0.66,0.99,0.33,0.99,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,West Ham
Robert Snodgrass,sct SCO,"FW,MF",32,6,3,268.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.67,0.34,1.01,0.67,1.01,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,West Ham
Ajibola Alese,eng ENG,DF,19,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Jack Wilshere,eng ENG,MF,28,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Josh Cullen,ie IRL,MF,24,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Harrison Ashby,sct SCO,DF,18,2,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Mipo Odubeko,ie IRL,FW,17,2,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Emmanuel Longelo,eng ENG,"DF,MF",19,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Oladapo Afolayan,eng ENG,"FW,MF",22,1,0,21.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,4.29,0.0,4.29,4.29,4.29,,,,,,Matches,2020-2021,West Ham
Nathan Trott,eng ENG,GK,21,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Jamal Baptiste,eng ENG,DF,16,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Conor Coventry,ie IRL,MF,20,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,West Ham
Frederik Ibsen,dk DEN,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,West Ham
David Martin,eng ENG,GK,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,West Ham
Nathan Holland,eng ENG,"FW,MF",22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,West Ham
Xande Silva,pt POR,"FW,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,West Ham
