Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Max Kilman,eng ENG,DF,27,41,41,3618.0,40.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.6,1.6,1.2,2.8,31.0,113.0,6.0,0.0,0.02,0.02,0.0,0.02,0.04,0.03,0.08,0.04,0.08,Matches,2024-2025,West Ham
Aaron Wan-Bissaka,eng ENG,DF,26,38,37,3334.0,37.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,0.05,0.13,0.19,0.05,0.19,0.03,0.1,0.14,0.03,0.14,Matches,2024-2025,West Ham
Jarrod Bowen,eng ENG,"FW,MF",27,36,36,3140.0,34.9,14.0,8.0,22.0,13.0,1.0,1.0,1.0,0.0,8.6,7.8,6.8,14.7,109.0,91.0,212.0,0.4,0.23,0.63,0.37,0.6,0.26,0.21,0.47,0.24,0.44,Matches,2024-2025,West Ham
Tomáš Souček,cz CZE,MF,29,38,33,2805.0,31.2,9.0,1.0,10.0,9.0,0.0,0.0,8.0,0.0,6.7,6.7,1.0,7.8,9.0,74.0,68.0,0.29,0.03,0.32,0.29,0.32,0.24,0.04,0.27,0.24,0.27,Matches,2024-2025,West Ham
Mohammed Kudus,gh GHA,"FW,MF",23,35,32,2709.0,30.1,5.0,4.0,9.0,5.0,0.0,0.0,3.0,1.0,6.9,6.9,3.1,10.0,98.0,79.0,216.0,0.17,0.13,0.3,0.17,0.3,0.24,0.11,0.35,0.24,0.35,Matches,2024-2025,West Ham
Lucas Paquetá,br BRA,"MF,FW",26,36,28,2533.0,28.1,5.0,0.0,5.0,3.0,2.0,2.0,11.0,0.0,5.3,3.7,3.1,6.8,26.0,155.0,85.0,0.18,0.0,0.18,0.11,0.11,0.2,0.12,0.32,0.14,0.26,Matches,2024-2025,West Ham
Alphonse Areola,fr FRA,GK,31,26,25,2260.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,West Ham
Konstantinos Mavropanos,gr GRE,DF,26,35,22,2174.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.5,1.5,0.5,2.0,17.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,2024-2025,West Ham
Emerson Palmieri,it ITA,DF,29,32,26,2130.0,23.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.4,47.0,66.0,83.0,0.08,0.04,0.13,0.08,0.13,0.08,0.06,0.15,0.08,0.15,Matches,2024-2025,West Ham
Edson Álvarez,mx MEX,MF,26,31,23,1990.0,22.1,0.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0,0.4,0.4,0.8,1.2,24.0,85.0,18.0,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,Matches,2024-2025,West Ham
Jean-Clair Todibo,fr FRA,DF,24,29,22,1960.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.0,0.4,9.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2024-2025,West Ham
Carlos Soler,es ESP,"MF,FW",27,33,15,1491.0,16.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,1.4,3.2,17.0,56.0,37.0,0.06,0.06,0.12,0.06,0.12,0.12,0.09,0.21,0.12,0.21,Matches,2024-2025,West Ham
Łukasz Fabiański,pl POL,GK,39,17,16,1430.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,West Ham
Vladimír Coufal,cz CZE,DF,31,25,13,1292.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.7,1.0,26.0,39.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,Matches,2024-2025,West Ham
Guido Rodríguez,ar ARG,MF,30,24,16,1180.0,13.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.2,0.4,4.0,33.0,7.0,0.0,0.08,0.08,0.0,0.08,0.02,0.01,0.03,0.02,0.03,Matches,2024-2025,West Ham
James Ward-Prowse,eng ENG,MF,29,16,13,1099.0,12.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.9,3.6,11.0,54.0,9.0,0.08,0.08,0.16,0.08,0.16,0.14,0.17,0.31,0.14,0.31,Matches,2024-2025,West Ham
Crysencio Summerville,nl NED,"FW,MF",22,22,10,994.0,11.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.7,3.3,29.0,18.0,71.0,0.09,0.18,0.27,0.09,0.27,0.19,0.19,0.38,0.19,0.38,Matches,2024-2025,West Ham
Aaron Cresswell,eng ENG,DF,34,20,11,928.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,Matches,2024-2025,West Ham
Niclas Füllkrug,de GER,FW,31,20,8,878.0,9.8,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,1.9,4.1,7.0,14.0,31.0,0.31,0.21,0.51,0.31,0.51,0.25,0.22,0.46,0.25,0.46,Matches,2024-2025,West Ham
Michail Antonio,jm JAM,FW,34,15,11,867.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,1.6,3.8,29.0,18.0,59.0,0.1,0.1,0.21,0.1,0.21,0.24,0.17,0.41,0.24,0.41,Matches,2024-2025,West Ham
Oliver Scarles,eng ENG,"DF,FW",18,16,8,741.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,12.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches,2024-2025,West Ham
Danny Ings,eng ENG,"FW,MF",32,17,2,419.0,4.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.3,2.3,1.3,3.5,6.0,5.0,29.0,0.21,0.43,0.64,0.21,0.64,0.72,0.41,1.12,0.72,1.12,Matches,2024-2025,West Ham
Andy Irving,sct SCO,MF,24,11,1,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.4,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,Matches,2024-2025,West Ham
Evan Ferguson,ie IRL,FW,19,8,1,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.5,0.32,0.5,Matches,2024-2025,West Ham
Luis Guilherme,br BRA,"MF,FW",18,13,1,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,4.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.3,0.25,0.3,Matches,2024-2025,West Ham
Lewis Orford,eng ENG,MF,18,2,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,2024-2025,West Ham
Kaelan Casey,eng ENG,DF,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,West Ham
Wes Foderingham,eng ENG,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,West Ham
Ezra Mayers,bb BRB,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,West Ham
