Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Kamil Grabara,pl POL,GK,26-138,32,32,2885.0,32.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Wolfsburg
Konstantinos Koulierakis,gr GRE,DF,21-179,33,31,2768.0,30.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.9,20.0,104.0,8.0,0.0,0.07,0.07,0.0,0.07,0.03,0.04,0.07,0.03,0.07,Matches,2024-2025,Wolfsburg
Denis Vavro,sk SVK,DF,29-046,32,30,2761.0,30.7,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,1.4,1.4,0.2,1.6,9.0,96.0,3.0,0.1,0.0,0.1,0.1,0.1,0.05,0.01,0.06,0.05,0.06,Matches,2024-2025,Wolfsburg
Mohamed Amoura,dz ALG,FW,25-017,34,32,2709.0,30.1,10.0,9.0,19.0,8.0,2.0,2.0,6.0,0.0,8.7,7.2,4.0,11.2,81.0,61.0,244.0,0.33,0.3,0.63,0.27,0.56,0.32,0.15,0.46,0.26,0.41,Matches,2024-2025,Wolfsburg
Kilian Fischer,de GER,DF,24-226,36,32,2637.0,29.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,0.5,0.8,51.0,110.0,89.0,0.03,0.0,0.03,0.03,0.03,0.01,0.02,0.03,0.01,0.03,Matches,2024-2025,Wolfsburg
Maximilian Arnold,de GER,MF,30-364,30,29,2566.0,28.5,3.0,6.0,9.0,3.0,0.0,0.0,9.0,1.0,0.9,0.9,3.5,4.3,9.0,128.0,16.0,0.11,0.21,0.32,0.11,0.32,0.03,0.13,0.17,0.03,0.17,Matches,2024-2025,Wolfsburg
Joakim Mæhle,dk DEN,DF,28-006,31,28,2484.0,27.6,3.0,4.0,7.0,3.0,0.0,0.0,7.0,0.0,2.0,2.0,2.2,4.3,59.0,88.0,117.0,0.11,0.14,0.25,0.11,0.25,0.08,0.09,0.18,0.08,0.18,Matches,2024-2025,Wolfsburg
Tiago Tomás,pt POR,"FW,MF",22-344,36,25,2123.0,23.6,6.0,1.0,7.0,6.0,0.0,0.0,7.0,0.0,5.4,5.4,2.6,8.1,31.0,50.0,125.0,0.25,0.04,0.3,0.25,0.3,0.26,0.13,0.38,0.26,0.38,Matches,2024-2025,Wolfsburg
Jonas Wind,dk DEN,"FW,MF",26-108,35,22,2105.0,23.4,11.0,4.0,15.0,10.0,1.0,2.0,2.0,0.0,5.7,4.0,4.2,8.1,17.0,100.0,94.0,0.47,0.17,0.64,0.43,0.6,0.26,0.19,0.45,0.18,0.37,Matches,2024-2025,Wolfsburg
Patrick Wimmer,at AUT,"MF,FW",23-361,33,26,2065.0,22.9,4.0,4.0,8.0,4.0,0.0,0.0,5.0,1.0,3.7,3.7,2.9,6.7,46.0,91.0,75.0,0.17,0.17,0.35,0.17,0.35,0.19,0.15,0.34,0.19,0.34,Matches,2024-2025,Wolfsburg
Yannick Gerhardt,de GER,"MF,DF",31-074,33,16,1692.0,18.8,2.0,1.0,3.0,2.0,0.0,0.0,5.0,1.0,1.2,1.2,0.2,1.4,27.0,57.0,63.0,0.11,0.05,0.16,0.11,0.16,0.07,0.01,0.08,0.07,0.08,Matches,2024-2025,Wolfsburg
Bence Dárdai,hu HUN,MF,19-122,25,19,1530.0,17.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.1,5.0,39.0,24.0,0.06,0.06,0.12,0.06,0.12,0.07,0.07,0.14,0.07,0.14,Matches,2024-2025,Wolfsburg
Ridle Baku,de GER,"FW,MF",27-048,18,17,1425.0,15.8,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,1.3,2.7,16.0,44.0,78.0,0.13,0.13,0.25,0.13,0.25,0.11,0.1,0.21,0.11,0.21,Matches,2024-2025,Wolfsburg
Mattias Svanberg,se SWE,MF,26-141,23,16,1422.0,15.8,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,3.6,3.6,1.7,5.4,11.0,36.0,39.0,0.19,0.06,0.25,0.19,0.25,0.27,0.13,0.4,0.27,0.4,Matches,2024-2025,Wolfsburg
