Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Conor Coady,eng ENG,"DF,MF",24,48,48,4305.0,47.8,1.0,2.0,3.0,0.0,1.0,1.0,4.0,1.0,0.02,0.04,0.06,0.0,0.04,Matches,2017-2018,Wolves
Matt Doherty,ie IRL,"DF,MF",25,47,47,4166.0,46.3,4.0,4.0,8.0,4.0,0.0,0.0,3.0,2.0,0.09,0.09,0.17,0.09,0.17,Matches,2017-2018,Wolves
John Ruddy,eng ENG,GK,30,45,45,4050.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2017-2018,Wolves
Diogo Jota,pt POR,"FW,MF",20,46,43,3661.0,40.7,18.0,5.0,23.0,17.0,1.0,1.0,9.0,0.0,0.44,0.12,0.57,0.42,0.54,Matches,2017-2018,Wolves
Rúben Neves,pt POR,MF,20,42,42,3610.0,40.1,6.0,1.0,7.0,6.0,0.0,1.0,12.0,2.0,0.15,0.02,0.17,0.15,0.17,Matches,2017-2018,Wolves
Barry Douglas,sct SCO,"DF,MF",27,42,39,3586.0,39.8,5.0,15.0,20.0,5.0,0.0,0.0,8.0,0.0,0.13,0.38,0.5,0.13,0.5,Matches,2017-2018,Wolves
Romain Saïss,ma MAR,"DF,MF",27,44,37,3422.0,38.0,4.0,0.0,4.0,4.0,0.0,0.0,12.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,2017-2018,Wolves
Willy Boly,ci CIV,DF,26,37,37,3287.0,36.5,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.08,0.05,0.14,0.08,0.14,Matches,2017-2018,Wolves
Ryan Bennett,eng ENG,DF,27,33,31,2900.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2017-2018,Wolves
Léo Bonatini,br BRA,FW,23,47,31,2802.0,31.1,12.0,5.0,17.0,11.0,1.0,1.0,0.0,0.0,0.39,0.16,0.55,0.35,0.51,Matches,2017-2018,Wolves
Ivan Cavaleiro,pt POR,"FW,MF",23,46,32,2766.0,30.7,9.0,13.0,22.0,8.0,1.0,1.0,4.0,0.0,0.29,0.42,0.72,0.26,0.68,Matches,2017-2018,Wolves
Hélder Costa,ao ANG,"FW,MF",23,39,24,1992.0,22.1,5.0,6.0,11.0,4.0,1.0,1.0,2.0,0.0,0.23,0.27,0.5,0.18,0.45,Matches,2017-2018,Wolves
Danny Batth,eng ENG,DF,26,21,20,1785.0,19.8,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.1,0.0,0.1,0.1,0.1,Matches,2017-2018,Wolves
Alfred N'Diaye,sn SEN,"DF,MF",27,37,17,1719.0,19.1,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,2017-2018,Wolves
Roderick Miranda,pt POR,DF,26,19,18,1613.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Wolves
