Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Conor Coady,eng ENG,DF,25,46,46,4200.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Wolves
Matt Doherty,ie IRL,"DF,MF",26,45,41,3720.0,41.3,8.0,8.0,16.0,8.0,0.0,0.0,5.0,0.0,4.4,4.4,5.1,9.5,80.0,129.0,221.0,0.19,0.19,0.39,0.19,0.39,0.13,0.15,0.27,0.13,0.27,Matches,2018-2019,Wolves
Willy Boly,ci CIV,DF,27,41,41,3647.0,40.5,4.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,3.6,3.6,2.1,5.6,29.0,136.0,12.0,0.1,0.0,0.1,0.1,0.1,0.1,0.06,0.16,0.1,0.16,Matches,2018-2019,Wolves
Raúl Jiménez,mx MEX,FW,27,44,40,3537.0,39.3,17.0,7.0,24.0,15.0,2.0,2.0,4.0,0.0,15.1,13.6,6.3,19.8,76.0,82.0,236.0,0.43,0.18,0.61,0.38,0.56,0.44,0.18,0.62,0.39,0.57,Matches,2018-2019,Wolves
Ryan Bennett,eng ENG,DF,28,40,38,3501.0,38.9,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,1.3,1.3,1.0,2.2,14.0,92.0,10.0,0.03,0.0,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07,Matches,2018-2019,Wolves
João Moutinho,pt POR,MF,31,44,39,3437.0,38.2,1.0,8.0,9.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,6.5,7.2,34.0,220.0,48.0,0.03,0.21,0.24,0.03,0.24,0.02,0.19,0.21,0.02,0.21,Matches,2018-2019,Wolves
Rúben Neves,pt POR,MF,21,40,38,3372.0,37.5,5.0,4.0,9.0,3.0,2.0,2.0,10.0,0.0,4.0,2.4,1.9,4.3,15.0,206.0,12.0,0.13,0.11,0.24,0.08,0.19,0.12,0.06,0.18,0.07,0.13,Matches,2018-2019,Wolves
Rui Patrício,pt POR,GK,30,37,37,3329.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Wolves
Jonny Castro,es ESP,"DF,MF",24,39,38,3293.0,36.6,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,2.0,2.0,1.6,3.6,85.0,75.0,161.0,0.03,0.05,0.08,0.03,0.08,0.06,0.05,0.12,0.06,0.12,Matches,2018-2019,Wolves
