Club_Name,Season,League
Alaves,2023-2024,La Liga
Angers,2023-2024,Ligue 2
Arsenal,2023-2024,Premier League
Aston Villa,2023-2024,Premier League
Atalanta,2023-2024,Serie A
Athletic Club,2023-2024,La Liga
Atletico Madrid,2023-2024,La Liga
Augsburg,2023-2024,Bundesliga
Auxerre,2023-2024,Ligue 2
Barcelona,2023-2024,La Liga
Bayern Munich,2023-2024,Bundesliga
Betis,2023-2024,La Liga
Bochum,2023-2024,Bundesliga
Bologna,2023-2024,Serie A
Bournemouth,2023-2024,Premier League
Brentford,2023-2024,Premier League
Brest,2023-2024,Ligue 1
Brighton,2023-2024,Premier League
Cagliari,2023-2024,Serie A
Celta Vigo,2023-2024,La Liga
Chelsea,2023-2024,Premier League
Como,2023-2024,Serie B
Crystal Palace,2023-2024,Premier League
Dortmund,2023-2024,Bundesliga
Eint Frankfurt,2023-2024,Bundesliga
Empoli,2023-2024,Serie A
Espanyol,2023-2024,La Liga 2
Everton,2023-2024,Premier League
Fiorentina,2023-2024,Serie A
Freiburg,2023-2024,Bundesliga
Fulham,2023-2024,Premier League
Genoa,2023-2024,Serie A
Getafe,2023-2024,La Liga
Girona,2023-2024,La Liga
Gladbach,2023-2024,Bundesliga
Heidenheim,2023-2024,Bundesliga
Hellas Verona,2023-2024,Serie A
Hoffenheim,2023-2024,Bundesliga
Holstein Kiel,2023-2024,2. Bundesliga
Inter,2023-2024,Serie A
Ipswich Town,2023-2024,Championship
Juventus,2023-2024,Serie A
Las Palmas,2023-2024,La Liga
Lazio,2023-2024,Serie A
Le Havre,2023-2024,Ligue 1
Lecce,2023-2024,Serie A
Leganes,2023-2024,La Liga 2
Leicester City,2023-2024,Championship
Lens,2023-2024,Ligue 1
Leverkusen,2023-2024,Bundesliga
Lille,2023-2024,Ligue 1
Liverpool,2023-2024,Premier League
Lyon,2023-2024,Ligue 1
Mainz 05,2023-2024,Bundesliga
Mallorca,2023-2024,La Liga
Manchester City,2023-2024,Premier League
Manchester Utd,2023-2024,Premier League
Marseille,2023-2024,Ligue 1
Milan,2023-2024,Serie A
Monaco,2023-2024,Ligue 1
Montpellier,2023-2024,Ligue 1
Monza,2023-2024,Serie A
Nantes,2023-2024,Ligue 1
Napoli,2023-2024,Serie A
Newcastle Utd,2023-2024,Premier League
Nice,2023-2024,Ligue 1
Nott'ham Forest,2023-2024,Premier League
Osasuna,2023-2024,La Liga
Paris S-G,2023-2024,Ligue 1
Parma,2023-2024,Serie B
RB Leipzig,2023-2024,Bundesliga
Rayo Vallecano,2023-2024,La Liga
Real Madrid,2023-2024,La Liga
Real Sociedad,2023-2024,La Liga
Reims,2023-2024,Ligue 1
Rennes,2023-2024,Ligue 1
Roma,2023-2024,Serie A
Saint-Etienne,2023-2024,Ligue 2
Sevilla,2023-2024,La Liga
Southampton,2023-2024,Championship
St. Pauli,2023-2024,2. Bundesliga
Strasbourg,2023-2024,Ligue 1
Stuttgart,2023-2024,Bundesliga
Torino,2023-2024,Serie A
Tottenham,2023-2024,Premier League
Toulouse,2023-2024,Ligue 1
Udinese,2023-2024,Serie A
Union Berlin,2023-2024,Bundesliga
Valencia,2023-2024,La Liga
Valladolid,2023-2024,La Liga 2
Venezia,2023-2024,Serie B
Villarreal,2023-2024,La Liga
Werder Bremen,2023-2024,Bundesliga
West Ham,2023-2024,Premier League
Wolfsburg,2023-2024,Bundesliga
Wolves,2023-2024,Premier League
